name,category,roadAddress,address,latitude,longitude,period,count,items
정선아리랑시장,상설장,강원특별자치도 정선군 정선읍 봉양7길 39,강원특별자치도 정선군 정선읍 봉양리 349-20,37.3803854,128.6652325,2일+7일,163.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
금호행복시장(금호시장),상설장,경기도 성남시 분당구 내정로 165번길 38,경기도 성남시 분당구 수내동 32,37.37665581,127.1162348,매일,174.0,농산물+축산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
미금현대벤처빌시장,상설장,경기도 성남시 분당구 돌마로90번길 8,경기도 성남시 분당구 구미동 26,37.34928693,127.1117684,매일,125.0,의류+신발+가정용품+음식점+근린생활서비스
범한프라자시장,상설장,경기도 성남시 분당구 불정로376번길 37,경기도 성남시 분당구 서현동 312-3,37.37163004,127.1394386,매일,84.0,농산물+축산물+수산물+의류+신발+가정용품+음식점
미래그린시장,상설장,경기도 성남시 분당구 불정로386번길 10 (효자촌미래타운아파트),경기도 성남시 분당구 서현동 307,37.37341572,127.1380307,매일,154.0,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+근린생활서비스
미래타운제2종합시장,상설장,경기도 성남시 분당구 불정로376번길 31,경기도 성남시 분당구 서현동 311,37.37225503,127.1388863,매일,64.0,농산물+가공식품+음식점+근린생활서비스
분당우성시장,상설장,경기도 성남시 분당구 중앙공원로40번길 42,경기도 성남시 분당구 서현동 94-3,37.37818238,127.1323819,매일,75.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
동신종합시장,상설장,경기도 성남시 분당구 돌마로 361,경기도 성남시 분당구 수내동 63-2,37.37062115,127.1229653,매일,86.0,농산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
현대프라자시장,상설장,경기도 성남시 분당구 돌마로 364,경기도 성남시 분당구 수내동 79-2,37.3699897,127.1236643,매일,95.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
분당종합시장,상설장,경기도 성남시 분당구 돌마로 366번길 42,경기도 성남시 분당구 수내동 83-1,37.36718424,127.1267528,매일,42.0,농산물+축산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
코끼리시장,상설장,경기도 성남시 분당구 내정로 166번길 7-6,경기도 성남시 분당구 수내동 56,37.37314665,127.1204067,매일,108.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
돌고래시장,상설장,경기도 성남시 분당구 내정로174번길 42 (파크타운서안아파트),경기도 성남시 분당구 수내동 53,37.37153075,127.1221765,매일,141.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
제천고추시장,상설장,충청북도 제천시 바이오밸리로 212,충청북도 제천시 신월동 1138-1,37.15643952,128.1750444,매일,55.0,농산물
